artist;album;release_date;userscore;metascore;link_album;link_img
Steely Dan;Two Against Nature;2000-02-29;84;77;https://www.metacritic.com/music/two-against-nature/steely-dan;https://static.metacritic.com/images/products/music/0/ab1e8df086c052b96bb3172f1fc04a81-98.jpg
Radiohead;Kid A;2000-10-03;89;80;https://www.metacritic.com/music/kid-a/radiohead;https://static.metacritic.com/images/products/music/1/140ca893311b26d537264c72cfd0ff6e-98.jpg
Eminem;The Marshall Mathers LP;2000-05-23;90;78;https://www.metacritic.com/music/the-marshall-mathers-lp/eminem;https://static.metacritic.com/images/products/music/6/15354b41747edeb1d6c89abcc9beb197-98.jpg
Beck;Midnite Vultures;1999-11-16;85;83;https://www.metacritic.com/music/midnite-vultures/beck;https://static.metacritic.com/images/products/music/8/f342391a2a2540ec707f8b7f684117f2-98.jpg
Paul Simon;You're the One;2000-10-03;81;76;https://www.metacritic.com/music/youre-the-one/paul-simon;https://static.metacritic.com/images/products/music/0/31982abbf10c5d292d169ef3c34d7e5d-98.jpg
O Brother Where Art Thou;OST;2000-12-05;84;83;https://www.metacritic.com/music/ost/o-brother-where-art-thou;https://static.metacritic.com/images/products/music/7/e0e8f7d51e64289f1c5398b1a42399e7-98.jpg
U2;All That You Can't Leave Behind;2000-10-31;82;79;https://www.metacritic.com/music/all-that-you-cant-leave-behind/u2;https://static.metacritic.com/images/products/music/8/988e0e1ee3262e1caf06ce27781127d2-98.jpg
Bob Dylan;Love And Theft;2001-09-11;88;93;https://www.metacritic.com/music/love-and-theft/bob-dylan;https://static.metacritic.com/images/products/music/0/612eb7b85bd251069e400ac6bf075504-98.jpg
Outkast;Stankonia;2000-10-31;88;95;https://www.metacritic.com/music/stankonia/outkast;https://static.metacritic.com/images/products/music/9/a3556781d32c32679cf702fe517c67c5-98.jpg
Norah Jones;Come Away With Me;2002-02-26;86;82;https://www.metacritic.com/music/come-away-with-me/norah-jones;https://static.metacritic.com/images/products/music/4/7fe9be696472dc42d82515fa2af229a9-98.jpg
Eminem;The Eminem Show;2002-05-28;90;75;https://www.metacritic.com/music/the-eminem-show/eminem;https://static.metacritic.com/images/products/music/7/4214a5666345f5a1bf6e29dc1bdbafcd-98.jpg
Dixie Chicks;Home;2002-08-27;60;75;https://www.metacritic.com/music/home/dixie-chicks;https://static.metacritic.com/images/products/music/5/82340a91b5b6050037a4d18d75e4e7dd-98.jpg
Nelly;Nellyville;2002-06-25;87;70;https://www.metacritic.com/music/nellyville/nelly;https://static.metacritic.com/images/products/music/0/d2ec58bfee0db4258747d41228447aec-98.jpg
Outkast;Speakerboxxx/The Love Below;2003-09-23;87;91;https://www.metacritic.com/music/speakerboxxxthe-love-below/outkast;https://static.metacritic.com/images/products/music/9/b0636e23e2f8e5ac9b20601d14491ffb-98.jpg
The White Stripes;Elephant;2003-04-01;86;92;https://www.metacritic.com/music/elephant/the-white-stripes;https://static.metacritic.com/images/products/music/3/223c579aeebacd78828385379596ac24-98.jpg
Justin Timberlake;Justified;2002-11-05;88;68;https://www.metacritic.com/music/justified/justin-timberlake;https://static.metacritic.com/images/products/music/3/bcc4cb81bfcb497750f24676b45f06ca-98.jpg
Missy Elliott;Under Construction;2002-11-12;82;81;https://www.metacritic.com/music/under-construction/missy-elliott;https://static.metacritic.com/images/products/music/9/9fc1a86e8851d2f78f7d0f9dc55d58cb-98.jpg
Green Day;American Idiot;2004-09-21;89;79;https://www.metacritic.com/music/american-idiot/green-day;https://static.metacritic.com/images/products/music/4/f37d8263fccec1446fdb52a345fac06e-98.jpg
Kanye West;College Dropout;2004-02-10;84;87;https://www.metacritic.com/music/college-dropout/kanye-west;https://static.metacritic.com/images/products/music/7/a38f2625b75e160bee548fdefe9537a1-98.jpg
Usher;Confessions;2004-03-23;80;71;https://www.metacritic.com/music/confessions/usher;https://static.metacritic.com/images/products/music/7/c70a4c861f32ec3613db72f85b0b4f0f-98.jpg
Alicia Keys;The Diary Of Alicia Keys;2003-12-02;87;71;https://www.metacritic.com/music/the-diary-of-alicia-keys/alicia-keys;https://static.metacritic.com/images/products/music/8/8b405ba4b38f13f927d43b7c43164237-98.jpg
U2;How To Dismantle An Atomic Bomb;2004-11-23;72;79;https://www.metacritic.com/music/how-to-dismantle-an-atomic-bomb/u2;https://static.metacritic.com/images/products/music/6/4c9f780643f368699252ad118ada765d-98.jpg
Paul McCartney;Chaos And Creation In The Backyard;2005-09-13;89;78;https://www.metacritic.com/music/chaos-and-creation-in-the-backyard/paul-mccartney;https://static.metacritic.com/images/products/music/3/f9676c7d9b7cbde571f4d0788c23bf56-98.jpg
Mariah Carey;The Emancipation Of Mimi;2005-04-12;83;64;https://www.metacritic.com/music/the-emancipation-of-mimi/mariah-carey;https://static.metacritic.com/images/products/music/9/25b67ac1129231228ee1ada09cfb8829-98.jpg
Kanye West;Late Registration;2005-08-30;84;85;https://www.metacritic.com/music/late-registration/kanye-west;https://static.metacritic.com/images/products/music/7/ae2a56612cfd3d05ccd11b1e9e372829-98.jpg
Gwen Stefani;Love, Angel, Music, Baby;2004-11-23;85;71;https://www.metacritic.com/music/love-angel-music-baby/gwen-stefani;https://static.metacritic.com/images/products/music/8/7e71a55708c3d29cb0832a5d3b4fc04f-98.jpg
Dixie Chicks;Taking The Long Way;2006-05-23;83;72;https://www.metacritic.com/music/taking-the-long-way/dixie-chicks;https://static.metacritic.com/images/products/music/6/314ef6b32860aabf3c4d1bf49e5668f2-98.jpg
John Mayer;Continuum;2006-09-12;89;67;https://www.metacritic.com/music/continuum/john-mayer;https://static.metacritic.com/images/products/music/4/ed7d29ef6fb657ff5c4d91f506ed346a-98.jpg
Justin Timberlake;FutureSex / LoveSounds;2006-09-12;82;70;https://www.metacritic.com/music/futuresex-lovesounds/justin-timberlake;https://static.metacritic.com/images/products/music/6/66df774822f4e40a0058a0834c6a25c9-98.jpg
Gnarls Barkley;St. Elsewhere;2006-05-09;84;81;https://www.metacritic.com/music/st-elsewhere/gnarls-barkley;https://static.metacritic.com/images/products/music/0/6d1d274f28d2495b074484bfa4d51d7e-98.jpg
Red Hot Chili Peppers;Stadium Arcadium;2006-05-09;89;73;https://www.metacritic.com/music/stadium-arcadium/red-hot-chili-peppers;https://static.metacritic.com/images/products/music/8/a91a416c155eb5f5a1b0d9572e5c2f75-98.jpg
Amy Winehouse;Back To Black;2007-03-13;89;81;https://www.metacritic.com/music/back-to-black/amy-winehouse;https://static.metacritic.com/images/products/music/0/bc27248f9815a64f1052c6aa5a61fad7-98.jpg
Foo Fighters;Echoes, Silence, Patience & Grace;2007-09-25;79;71;https://www.metacritic.com/music/echoes-silence-patience-grace/foo-fighters;https://static.metacritic.com/images/products/music/1/cb451532ad14fea4d63583ed3274644a-98.jpg
Kanye West;Graduation;2007-09-11;82;79;https://www.metacritic.com/music/graduation/kanye-west;https://static.metacritic.com/images/products/music/1/a2dbe42237b154a9510de98bee6c660b-98.jpg
Vince Gill;These Days;2006-10-17;87;82;https://www.metacritic.com/music/these-days/vince-gill;https://static.metacritic.com/images/products/music/2/6e91b42c03c196145fd236923052b0bf-98.jpg
Radiohead;In Rainbows;2007-10-10;90;88;https://www.metacritic.com/music/in-rainbows/radiohead;https://static.metacritic.com/images/products/music/2/b677077ac22c80ab4cc862dfd062c08a-98.jpg
Lil Wayne;Tha Carter III;2008-06-10;73;84;https://www.metacritic.com/music/tha-carter-iii/lil-wayne;https://static.metacritic.com/images/products/music/4/19d2af65541f269a072bbb6d61cf5579-98.jpg
Coldplay;Viva La Vida;2008-06-17;84;72;https://www.metacritic.com/music/viva-la-vida/coldplay;https://static.metacritic.com/images/products/music/7/b26a41fbf21f1cd4cce6801948b0eed4-98.jpg
Ne-Yo;Year Of The Gentleman;2008-09-16;87;79;https://www.metacritic.com/music/year-of-the-gentleman/ne-yo;https://static.metacritic.com/images/products/music/0/028a62341db6ba749b219f9162e62374-98.jpg
Taylor Swift;Fearless;2008-11-11;85;73;https://www.metacritic.com/music/fearless/taylor-swift;https://static.metacritic.com/images/products/music/8/6db805e7a5e19def851feba74258efae-98.jpg
The Black Eyed Peas;The E.N.D.;2009-06-09;62;60;https://www.metacritic.com/music/the-end/the-black-eyed-peas;https://static.metacritic.com/images/products/music/3/248e6b09c7554272cd52ffbc24370ae2-98.jpg
Lady Gaga;The Fame;2008-10-28;84;71;https://www.metacritic.com/music/the-fame/lady-gaga;https://static.metacritic.com/images/products/music/8/5ea4ba78a16e9a8f344bea316e4d22a6-98.jpg
Beyoncé;I Am...Sasha Fierce;2008-11-18;76;62;https://www.metacritic.com/music/i-amsasha-fierce/beyonce;https://static.metacritic.com/images/products/music/4/932f5e9d8f56d880a0101ef4fcaf2c46-98.jpg
Arcade Fire;The Suburbs;2010-08-03;89;87;https://www.metacritic.com/music/the-suburbs/arcade-fire;https://static.metacritic.com/images/products/music/4/83e4eb7e41bad23641253da3bb5e334b-98.jpg
Lady Gaga;The Fame Monster;2009-11-23;89;78;https://www.metacritic.com/music/the-fame-monster/lady-gaga;https://static.metacritic.com/images/products/music/3/8ebe7a3b50c1cac9c8f9da883013d400-98.jpg
Lady Antebellum;Need You Now;2010-01-26;65;63;https://www.metacritic.com/music/need-you-now/lady-antebellum;https://static.metacritic.com/images/products/music/0/69e80d2a9a1b3b51d403ef84c7306b6a-98.jpg
Eminem;Recovery;2010-06-22;83;63;https://www.metacritic.com/music/recovery/eminem;https://static.metacritic.com/images/products/music/1/c29497c19b7d9ca1fa5f97b128a53677-98.jpg
Katy Perry;Teenage Dream;2010-08-24;80;52;https://www.metacritic.com/music/teenage-dream/katy-perry;https://static.metacritic.com/images/products/music/8/e3eb2379873a2dd41794294eed50317a-98.jpg
Adele;21;2011-02-22;82;76;https://www.metacritic.com/music/21/adele;https://static.metacritic.com/images/products/music/3/8a8b88a5f3aac1d601c1db135b2c96e7-98.jpg
Lady Gaga;Born This Way;2011-05-23;83;71;https://www.metacritic.com/music/born-this-way/lady-gaga;https://static.metacritic.com/images/products/music/8/e6465bde5aa3fd909fea94995ff4edca-98.jpg
Bruno Mars;Doo-Wops and Hooligans;2010-10-05;68;61;https://www.metacritic.com/music/doo-wops-and-hooligans/bruno-mars;https://static.metacritic.com/images/products/music/3/92e80eae12b755ccd3b161091c2954e4-98.jpg
Rihanna;Loud;2010-11-16;79;67;https://www.metacritic.com/music/loud/rihanna;https://static.metacritic.com/images/products/music/98w-release.jpg
