artist;album;url
Santana;Supernatural;https://www.metacritic.com/music/supernatural/santana
TLC;FanMail;https://www.metacritic.com/music/fanmail/tlc
Dixie Chicks;Fly;https://www.metacritic.com/music/fly/dixie-chicks
Backstreet Boys;Millennium;https://www.metacritic.com/music/millennium/backstreet-boys
Diana Krall;When I Look in Your Eyes;https://www.metacritic.com/music/when-i-look-in-your-eyes/diana-krall
Steely Dan;Two Against Nature;https://www.metacritic.com/music/two-against-nature/steely-dan
Radiohead;Kid A;https://www.metacritic.com/music/kid-a/radiohead
Eminem;The Marshall Mathers LP;https://www.metacritic.com/music/the-marshall-mathers-lp/eminem
Beck;Midnite Vultures;https://www.metacritic.com/music/midnite-vultures/beck
Paul Simon;You're the One;https://www.metacritic.com/music/youre-the-one/paul-simon
Various Artists;O Brother, Where Art Thou? - Soundtrack;https://www.metacritic.com/music/ost/o-brother-where-art-thou
India.Arie;Acoustic Soul;https://www.metacritic.com/music/acoustic-soul/indiaarie
U2;All That You Can't Leave Behind;https://www.metacritic.com/music/all-that-you-cant-leave-behind/u2
Bob Dylan;Love and Theft;https://www.metacritic.com/music/love-and-theft/bob-dylan
OutKast;Stankonia;https://www.metacritic.com/music/stankonia/outkast
Norah Jones;Come Away with Me;https://www.metacritic.com/music/come-away-with-me/norah-jones
Eminem;The Eminem Show;https://www.metacritic.com/music/the-eminem-show/eminem
Dixie Chicks;Home;https://www.metacritic.com/music/home/dixie-chicks
Nelly;Nellyville;https://www.metacritic.com/music/nellyville/nelly
Bruce Springsteen;The Rising;https://www.metacritic.com/music/the-rising/bruce-springsteen
OutKast;Speakerboxxx/The Love Below;https://www.metacritic.com/music/speakerboxxxthe-love-below/outkast
The White Stripes;Elephant;https://www.metacritic.com/music/elephant/the-white-stripes
Evanescence;Fallen;https://www.metacritic.com/music/fallen/evanescence
Justin Timberlake;Justified;https://www.metacritic.com/music/justified/justin-timberlake
Missy Elliott;Under Construction;https://www.metacritic.com/music/under-construction/missy-elliott
Ray Charles;Genius Loves Company;https://www.metacritic.com/music/genius-loves-company/ray-charles
Green Day;American Idiot;https://www.metacritic.com/music/american-idiot/green-day
Kanye West;The College Dropout;https://www.metacritic.com/music/college-dropout/kanye-west
Usher;Confessions;https://www.metacritic.com/music/confessions/usher
Alicia Keys;The Diary of Alicia Keys;https://www.metacritic.com/music/the-diary-of-alicia-keys/alicia-keys
U2;How to Dismantle an Atomic Bomb;https://www.metacritic.com/music/how-to-dismantle-an-atomic-bomb/u2
Paul McCartney;Chaos and Creation in the Backyard;https://www.metacritic.com/music/chaos-and-creation-in-the-backyard/paul-mccartney
Mariah Carey;The Emancipation of Mimi;https://www.metacritic.com/music/the-emancipation-of-mimi/mariah-carey
Kanye West;Late Registration;https://www.metacritic.com/music/late-registration/kanye-west
Gwen Stefani;Love. Angel. Music. Baby.;https://www.metacritic.com/music/love-angel-music-baby/gwen-stefani
Dixie Chicks;Taking the Long Way;https://www.metacritic.com/music/taking-the-long-way/dixie-chicks
John Mayer;Continuum;https://www.metacritic.com/music/continuum/john-mayer
Justin Timberlake;FutureSex/LoveSounds;https://www.metacritic.com/music/futuresex-lovesounds/justin-timberlake
Gnarls Barkley;St. Elsewhere;https://www.metacritic.com/music/st-elsewhere/gnarls-barkley
Red Hot Chili Peppers;Stadium Arcadium;https://www.metacritic.com/music/stadium-arcadium/red-hot-chili-peppers
Herbie Hancock;River: The Joni Letters;https://www.metacritic.com/music/river-the-joni-letters/herbie-hancock
Amy Winehouse;Back to Black;https://www.metacritic.com/music/back-to-black/amy-winehouse
