artist;album;link_img;rank;year
Carrie Underwood;Some Hearts;https://charts-static.billboard.com/img/2005/04/carrie-underwood-62j-53x53.jpg;1;2006
Soundtrack;High School Musical;https://charts-static.billboard.com/img/2006/01/soundtrack-000-high-school-musical-ags-53x53.jpg;2;2006
Nickelback;All The Right Reasons;https://charts-static.billboard.com/img/2005/10/nickelback-30h-all-the-right-reasons-jb7-53x53.jpg;3;2006
Rascal Flatts;Me And My Gang;https://charts-static.billboard.com/img/2000/03/rascal-flatts-rfy-53x53.jpg;4;2006
Mary J. Blige;The Breakthrough;https://charts-static.billboard.com/img/2005/12/mary-j-blige-s24-the-breakthrough-flu-53x53.jpg;5;2006
Eminem;Curtain Call: The Hits;https://charts-static.billboard.com/img/2005/12/eminem-1xq-curtain-call-the-hits-ylp-53x53.jpg;6;2006
James Blunt;Back To Bedlam;https://charts-static.billboard.com/img/2005/10/james-blunt-nim-back-to-bedlam-zoh-53x53.jpg;7;2006
Kenny Chesney;The Road And The Radio;https://charts-static.billboard.com/img/2017/06/kenny-chesney-53x53.jpg;8;2006
Johnny Cash;The Legend Of Johnny Cash;https://charts-static.billboard.com/img/2005/11/johnny-cash-q0u-the-legend-of-johnny-cash-j42-53x53.jpg;9;2006
Kelly Clarkson;Breakaway;https://charts-static.billboard.com/img/2002/09/kelly-clarkson-gyw-53x53.jpg;10;2006
Mariah Carey;The Emancipation Of Mimi;https://charts-static.billboard.com/img/2005/04/mariah-carey-vb1-the-emancipation-of-mimi-kiv-53x53.jpg;11;2006
The Pussycat Dolls;PCD;https://charts-static.billboard.com/img/2005/10/the-pussycat-dolls-t1l-pcd-ufr-53x53.jpg;12;2006
Various Artists;NOW 20;https://charts-static.billboard.com/img/2005/11/various-artists-000-now-20-4tr-53x53.jpg;13;2006
The Black Eyed Peas;MONKEY BUSINESS;https://charts-static.billboard.com/img/2005/06/the-black-eyed-peas-f5s-monkey-business-jg4-53x53.jpg;14;2006
Jamie Foxx;Unpredictable;https://charts-static.billboard.com/img/2005/12/jamie-foxx-hji-unpredictable-jgc-53x53.jpg;15;2006
Dixie Chicks;Taking The Long Way;https://charts-static.billboard.com/img/2006/06/the-chicks-xvc-taking-the-long-way-7ds-53x53.jpg;16;2006
Chris Brown;Chris Brown;https://charts-static.billboard.com/img/2005/12/chris-brown-cte-chris-brown-l79-53x53.jpg;17;2006
Justin Timberlake;FutureSex/LoveSounds;https://charts-static.billboard.com/img/2006/09/justin-timberlake-wmm-futuresex-lovesounds-32x-53x53.jpg;18;2006
Various Artists;NOW 21;https://charts-static.billboard.com/img/2006/04/various-artists-000-now-21-wzx-53x53.jpg;19;2006
Rascal Flatts;Feels Like Today;https://charts-static.billboard.com/img/2000/03/rascal-flatts-rfy-53x53.jpg;20;2006
T.I.;King;https://charts-static.billboard.com/img/2017/07/ti-53x53.jpg;21;2006
Madonna;Confessions On A Dance Floor;https://charts-static.billboard.com/img/2005/11/madonna-mcq-confessions-on-a-dance-floor-glz-53x53.jpg;22;2006
Shakira;Oral Fixation Vol. 2;https://charts-static.billboard.com/img/2005/12/shakira-mhe-oral-fixation-vol-2-pe0-53x53.jpg;23;2006
Red Hot Chili Peppers;Stadium Arcadium;https://charts-static.billboard.com/img/1984/09/red-hot-chili-peppers-s9k-53x53.jpg;24;2006
Various Artists;NOW 22;https://charts-static.billboard.com/img/2006/07/various-artists-000-now-22-805-53x53.jpg;25;2006
Fall Out Boy;From Under The Cork Tree;https://charts-static.billboard.com/img/2005/05/fall-out-boy-zhw-from-under-the-cork-tree-6q5-53x53.jpg;26;2006
Ne-Yo;In My Own Words;https://charts-static.billboard.com/img/2006/03/ne-yo-9u2-in-my-own-words-kda-53x53.jpg;27;2006
Tim McGraw;Greatest Hits Vol 2: Reflected;https://charts-static.billboard.com/img/1840/12/tim-mcgraw-a0u-53x53.jpg;28;2006
Keith Urban;Be Here;https://charts-static.billboard.com/img/2004/10/keith-urban-sha-be-here-6st-53x53.jpg;29;2006
Andrea Bocelli;Amore;https://charts-static.billboard.com/img/2006/02/andrea-bocelli-g0h-amore-dmv-53x53.jpg;30;2006
Tool;10,000 Days;https://charts-static.billboard.com/img/2006/05/tool-6p6-10000-days-0i9-53x53.jpg;31;2006
Panic! At The Disco;A Fever You Can't Sweat Out;https://charts-static.billboard.com/img/2005/10/panic-at-the-disco-bni-a-fever-you-cant-sweat-out-1q0-53x53.jpg;32;2006
Josh Turner;Your Man;https://charts-static.billboard.com/img/2005/08/josh-turner-fyx-your-man-7gi-53x53.jpg;33;2006
Chamillionaire;The Sound Of Revenge;https://charts-static.billboard.com/img/2005/12/chamillionaire-brc-the-sound-of-revenge-jin-53x53.jpg;34;2006
Enya;Amarantine;https://charts-static.billboard.com/img/2005/10/enya-qhp-53x53.jpg;35;2006
Hinder;Extreme Behavior;https://charts-static.billboard.com/img/2005/10/hinder-iwo-extreme-behavior-ssf-53x53.jpg;36;2006
Trace Adkins;Songs About Me;https://charts-static.billboard.com/img/1996/04/trace-adkins-5ca-53x53.jpg;37;2006
Beyonce;B'Day;https://charts-static.billboard.com/img/2006/09/beyonce-000-bday-x63-53x53.jpg;38;2006
The Fray;How To Save A Life;https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg;39;2006
Michael Buble;It's Time;https://charts-static.billboard.com/img/2005/02/michael-buble-000-its-time-36m-53x53.jpg;40;2006
System Of A Down;Hypnotize;https://charts-static.billboard.com/img/2005/10/system-of-a-down-5h4-53x53.jpg;41;2006
Korn;See You On The Other Side;https://charts-static.billboard.com/img/2005/12/korn-4hs-see-you-on-the-other-side-aod-53x53.jpg;42;2006
Toby Keith;White Trash With Money;https://charts-static.billboard.com/img/2006/04/toby-keith-dle-white-trash-with-money-8ni-53x53.jpg;43;2006
Soundtrack;Walk The Line;https://charts-static.billboard.com/img/2005/12/soundtrack-000-walk-the-line-vgd-53x53.jpg;44;2006
Alan Jackson;Precious Memories;https://charts-static.billboard.com/img/2006/03/alan-jackson-jbt-precious-memories-lg0-53x53.jpg;45;2006
