artist;album;release_date;userscore;metascore;link_album;link_img
Kendrick Lamar;To Pimp A Butterfly;2015-03-16;89;96;https://www.metacritic.com/music/to-pimp-a-butterfly/kendrick-lamar;https://static.metacritic.com/images/products/music/3/323ffc6b09737dc2dbb7d511772466e0-98.jpg
Sufjan Stevens;Carrie & Lowell;2015-03-31;89;90;https://www.metacritic.com/music/carrie-lowell/sufjan-stevens;https://static.metacritic.com/images/products/music/1/11eb6d49ca3108655c71dba2e134b9b0-98.jpg
Sleater-Kinney;No Cities to Love;2015-01-20;82;90;https://www.metacritic.com/music/no-cities-to-love/sleater-kinney;https://static.metacritic.com/images/products/music/5/d8dfcf2d27bd4a44dea54ba133202014-98.jpg
Napalm Death;Apex Predator - Easy Meat;2015-01-27;72;89;https://www.metacritic.com/music/apex-predator---easy-meat/napalm-death;https://static.metacritic.com/images/products/music/9/57d451cd3a2765ba17a089e923493ab1-98.jpg
Sam Lee;The Fade in Time;2015-03-16;56;89;https://www.metacritic.com/music/the-fade-in-time/sam-lee;https://static.metacritic.com/images/products/music/8/70b412f063748dcafd3ee59dfffe4f7c-98.jpg
Steven Wilson;Hand.Cannot.Erase.;2015-03-03;87;89;https://www.metacritic.com/music/handcannoterase/steven-wilson;https://static.metacritic.com/images/products/music/0/34dd55c232bd9e7f5bfd608ae3a02ff3-98.jpg
Joanna Newsom;Divers;2015-10-23;82;88;https://www.metacritic.com/music/divers/joanna-newsom;https://static.metacritic.com/images/products/music/5/e8e77af55942a2ab3d89066adb151268-98.jpg
Courtney Barnett;Sometimes I Sit And Think, And Sometimes I Just Sit;2015-03-24;85;88;https://www.metacritic.com/music/sometimes-i-sit-and-think-and-sometimes-i-just-sit/courtney-barnett;https://static.metacritic.com/images/products/music/5/3ae66c5c6b333c3a07e396422c8a07c0-98.jpg
Bring Me the Horizon;That's the Spirit;2015-09-11;71;88;https://www.metacritic.com/music/thats-the-spirit/bring-me-the-horizon;https://static.metacritic.com/images/products/music/5/09ed4145757a1281ba7ea8494ca96150-98.jpg
Mbongwana Star;From Kinshasa;2015-05-19;53;88;https://www.metacritic.com/music/from-kinshasa/mbongwana-star;https://static.metacritic.com/images/products/music/5/b9bc104700a42ecd42b7926f1f40ed1e-98.jpg
Grimes;Art Angels;2015-12-11;89;88;https://www.metacritic.com/music/art-angels/grimes;https://static.metacritic.com/images/products/music/5/2849b51bff51e686e8fbb98707f431f7-98.jpg
James McMurtry;Complicated Game;2015-02-24;82;87;https://www.metacritic.com/music/complicated-game/james-mcmurtry;https://static.metacritic.com/images/products/music/6/e44273f9d4b69099ac046d7a56fc8c67-98.jpg
Julia Holter;Have You in My Wilderness;2015-09-25;86;87;https://www.metacritic.com/music/have-you-in-my-wilderness/julia-holter;https://static.metacritic.com/images/products/music/4/7c88d4640da56b23e38efa87d358fd37-98.jpg
Jason Isbell;Something More Than Free;2015-07-17;82;87;https://www.metacritic.com/music/something-more-than-free/jason-isbell;https://static.metacritic.com/images/products/music/8/22730baff3afff029693f94b2b339e2e-98.jpg
